ID,Depression,Alcohol,Suicide,Drugs
02V56KMO,0.7136300392448902,0.08956836047582328,0.17207310046069324,0.02472849376499653
03BMGTOK,0.9548013582825661,0.013511819182895124,0.018294657638762146,0.013392170832958072
03LZVFM6,0.9625703543424606,0.010358984611229971,0.016146772308275104,0.010923883943178225
0EPULUM5,0.9001617580652237,0.019348561014339793,0.059643560205586255,0.02084610002930276
0GM4C5GD,0.3790324591100216,0.17047434695996344,0.19565748143941164,0.254835675470531
0IYM8BYT,0.8821868076920509,0.036329804453998804,0.044955746619962156,0.03652763552963734
0JFJVD28,0.8398170620203018,0.04348216997459531,0.06235002260655165,0.054350760066881776
0OZGUFOF,0.9417745769023895,0.01861422648653388,0.017335762328002602,0.022275409573921934
0WP999ZX,0.022030752879800275,0.9384657144546509,0.014827987550233956,0.02467555286420975
0ZA45Y5F,0.14607379073277116,0.7336412668228149,0.07961481902748346,0.04067012411542237
13V2N1XF,0.955270066857338,0.01593937532743439,0.015931546280626208,0.012859011447289959
16THDEEP,0.07539645791985095,0.8018492087721825,0.09720787208061665,0.025546447257511318
1AU3C3HI,0.7391562536358833,0.047420798568055034,0.18307437375187874,0.030348556116223335
1D7TE9IY,0.5748753175139427,0.25048790872097015,0.09521966555621475,0.07941712881438434
1MHNW745,0.012321441241510911,0.9639351963996887,0.013377878374740249,0.010365454021666665
1TZY1GIP,0.8906815946102142,0.03351632144767791,0.04731087293475866,0.028491232311353087
1ZTKVYXC,0.9161710068583488,0.024705903022550046,0.027316846302710474,0.031806273851543665
22L09P4C,0.037032507942058146,0.037672611069865525,0.019086115120444447,0.9062087908387184
23C43VXB,0.9360466226935387,0.019251902762334794,0.024472570628859103,0.020228926790878177
255YNCPV,0.5035341512411833,0.08948744228109717,0.28267611376941204,0.12430226802825928
25NGSGR3,0.9594415873289108,0.010642140093295893,0.010449815697938902,0.01946650061290711
289054IS,0.9208092242479324,0.037632477353326976,0.029277512890985236,0.012280771257792367
28AM1F1Y,0.01659467539866455,0.9447325244545937,0.01945126595092006,0.01922154526982922
2EC4OIPR,0.7689946293830872,0.05551666207611561,0.09130664868280292,0.08418206451460719
2FCIOIC1,0.1386244895402342,0.03825132898055017,0.8072418496012688,0.01588231822825037
2L8WA7A4,0.8625620231032372,0.03496767711476423,0.03626869467552751,0.06620158243458718
2Q7GS1WB,0.9491580426692963,0.01610039553634124,0.01633723390114028,0.018404320580884814
2SFRZEYJ,0.2740271952934563,0.3054981641471386,0.3689782340079546,0.051496409985702485
2ZODHMOB,0.9363656044006348,0.022039047500584275,0.022404523828299716,0.01919080369407311
30F40YH4,0.6892717853188515,0.15450667776167393,0.09144056448712945,0.06478100130334496
36UOSKA4,0.7621029913425446,0.02616045018658042,0.18204929726198316,0.029687264934182167
370FVIAF,0.6818761229515076,0.11495259404182434,0.0752209103666246,0.12795036658644676
3B7S1S6B,0.6205982714891434,0.04541600856464356,0.07025977689772844,0.2637259126640856
3H1OFXL7,0.9617649391293526,0.012870047830801923,0.015498299384489655,0.009866720662103035
3NMNSYA4,0.9152143225073814,0.02063170203473419,0.04911307615111582,0.015040900179883465
3PLATXLT,0.17582559771835804,0.025428120978176594,0.02089454559609294,0.7778517231345177
3SS0AHGQ,0.9270697012543678,0.025562111986801028,0.01778814767021686,0.029580063768662512
427XJQBB,0.4167942116037011,0.05210833693854511,0.4631143235601485,0.06798309925943613
44XZ10QC,0.9183423966169357,0.03192511585075408,0.026322381920181215,0.023410095600411296
4DL9UOQL,0.012492035399191082,0.08396268833894283,0.015817123756278306,0.8877281323075294
57VMVY5S,0.7130669094622135,0.02128826338594081,0.25093017239123583,0.014714678643940715
5AP5IX9B,0.9215010851621628,0.034569165378343314,0.02471964666619897,0.01921013559331186
5G7R1F52,0.011815759442470153,0.9441015049815178,0.01809719976154156,0.02598553372081369
5JK5HYM9,0.9564982503652573,0.013008600129978731,0.01716764764569234,0.013325507563422434
5NEYXWJK,0.013187454456783598,0.9362825155258179,0.021735938353231177,0.02879409573506564
62MJYMB4,0.9490334689617157,0.018844365054974332,0.015433826018124819,0.016688352887285873
